,r0,r1,r2,r3,r4,r5,r6,r7,g0,g1,g2,g3,g4,g5,g6,g7,b0,b1,b2,b3,b4,b5,b6,b7,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
365,691200,0,0,0,0,0,0,0,691200,0,0,0,0,0,0,0,921600,0,0,0,0,0,0,0,0.0,0.38999999,-1.6775839,4,Poor,Non_Severely_Poor,0,0,0,0,0
366,0,2,1317,87162,534771,67878,68,2,0,5,1880,90449,534491,64309,65,1,0,108,5942,180213,687039,48226,72,0,42000.0,0.38999999,-1.7481247,4,Poor,Non_Severely_Poor,0,0,0,0,0
367,70,9669,73258,94840,101492,376722,258096,7453,863,63074,103933,110266,321563,142027,178671,1203,27983,218350,297898,306624,109718,15815,108460,143952,34285.715,0.44599998,-0.74774903,5,Poor,Non_Severely_Poor,0,0,3,0,2
368,5696,36883,78570,94461,91813,246873,136173,731,9108,85314,87712,75905,164215,124477,136935,7534,108190,139005,202350,97087,117469,161016,96406,77,18000.0,0.50199997,-3.6670818,5,Poor,Poor,0,0,1,0,1
369,110823,139673,205398,120402,93892,129874,103801,17737,79753,136049,178638,146409,91559,150344,86541,52307,132937,217576,225332,136797,157416,235830,75582,47330,10000.0,0.38999999,-0.86715043,4,Poor,Non_Severely_Poor,0,0,0,0,2
370,36705,59700,56048,96679,241491,265619,99148,66210,50288,84720,143939,93810,143190,298749,49286,57618,233507,131995,86499,143780,242182,272912,48564,69361,120000.0,0.33399999,0.4398551,3,Poor,Non_Severely_Poor,0,2,4,0,8
371,7029,19256,59954,140145,144593,268437,222108,60078,20481,62679,123973,155642,180716,249790,99332,28987,66941,177623,283468,216791,183825,149085,91789,59278,40000.0,0.056000002,-0.12322669,1,Non_Poor,Non_Severely_Poor,0,0,0,0,6
372,691200,0,0,0,0,0,0,0,691200,0,0,0,0,0,0,0,921600,0,0,0,0,0,0,0,0.0,0.22299999,4.1597691,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
373,0,0,34,13320,144880,510499,22282,185,0,28,12064,120500,493327,64722,557,2,0,172,28298,231133,580513,80779,643,62,60000.0,0.16699999999999998,-0.58088917,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
374,11810,76585,153521,171042,204908,200457,52776,50501,14347,101977,185985,180219,182717,140732,48327,67296,58264,201117,364511,229257,142931,87224,37862,107634,30000.0,0.33399999,-0.005989044399999999,3,Poor,Non_Severely_Poor,0,0,0,0,0
375,46576,55784,73586,103139,159973,137441,88490,26211,40984,70902,88894,126424,174798,62005,84170,43023,62565,137292,294421,208299,50860,29838,114446,23879,53000.0,0.16699999999999998,-1.0840818,1,Non_Poor,Non_Severely_Poor,0,0,0,0,3
376,4736,29246,32554,166522,329682,227968,57058,73834,3758,35796,185662,275507,208904,96130,43532,72311,19859,60860,199211,267147,303991,281031,26650,70051,40000.0,0.44599998,-1.2247837,5,Poor,Non_Severely_Poor,0,0,0,0,2
377,268940,139946,122235,122229,94583,56712,42362,74593,319007,173783,113100,96991,63633,37305,38661,79120,367529,214642,166530,133964,91296,69764,87164,97911,32000.0,0.55699998,-2.6799641,5,Poor,Poor,0,0,0,0,4
378,21450,58360,116145,166774,155596,180383,160382,62510,50471,100717,176627,132562,77878,182285,144442,56618,188163,255482,241290,156542,80494,171711,80636,54482,40000.0,0.50199997,-1.3484596000000002,5,Poor,Poor,0,0,0,0,15
379,8703,24671,21660,50496,107243,112522,276522,89383,13004,40894,109349,119117,149787,144963,76981,37105,60164,135059,186022,244524,166863,70199,17033,41736,190000.0,0.33399999,-0.27023873,3,Poor,Non_Severely_Poor,0,0,0,0,16
380,48128,34403,79417,200198,180177,189503,155963,33811,51765,89426,140265,160276,119724,145659,170442,44043,85883,146269,167064,232973,352904,163350,45550,34807,532142.88,0.33399999,2.5557244,3,Poor,Non_Severely_Poor,0,0,0,0,1
381,43,5784,17768,214826,569962,110207,2585,425,3,4945,22022,177255,596914,116623,3474,364,1889,9293,24822,274630,762522,149723,5385,536,74000.0,0.22299999,-0.9671815,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
382,47634,79856,100877,114840,91042,65213,148643,43095,51975,135880,76370,90849,94010,135786,87122,19208,104522,192975,115875,115139,168272,165814,27295,31708,0.0,0.44599998,-1.6129085,5,Poor,Non_Severely_Poor,0,0,2,0,8
383,43247,41400,64879,100491,163440,200420,70300,7023,23759,52711,91668,115685,155547,166559,77618,7653,66598,104198,110290,196172,222167,143099,69506,9570,69000.0,0.22299999,0.23581214,2,Non_Poor,Non_Severely_Poor,0,0,0,0,3
384,10498,87067,117806,120773,139801,165749,260213,19693,16624,102196,180491,120039,124349,135409,227779,14713,76864,257693,242692,212781,196099,166148,67825,8698,430000.0,0.33399999,4.0419803,3,Poor,Non_Severely_Poor,0,2,3,1,5
385,11139,62492,178555,200259,165017,123772,94335,86031,15924,79035,164830,181920,173945,128451,91082,86413,97720,187889,210022,213817,188457,178851,63924,88120,333571.44,0.16699999999999998,0.089907646,1,Non_Poor,Non_Severely_Poor,0,0,0,0,2
386,21444,76309,109430,108238,118777,159184,34133,63685,23454,103247,114487,113934,109561,117088,45238,64191,131298,201625,211700,132799,46037,79756,51295,67090,107285.71,0.33399999,0.28782052,3,Poor,Non_Severely_Poor,0,0,0,0,5
387,61478,67476,68044,67245,128856,194227,86870,17004,52098,101863,70093,107995,89566,159255,88260,22070,60332,146416,150418,96703,142170,196550,105940,23071,104250.0,0.16699999999999998,-1.079499,1,Non_Poor,Non_Severely_Poor,0,0,2,0,4
388,6744,44290,74386,61705,43260,166138,290141,4536,21538,87419,68947,49638,134621,259275,69205,557,147185,139888,283126,113141,20800,59425,150581,7454,57142.855,0.55799997,-2.0040841,5,Poor,Poor,0,0,2,1,0
389,65007,57590,93402,100931,167272,100521,39128,67349,73697,90777,95557,142100,167903,11453,39166,70547,128654,151879,169136,165662,144659,23159,40946,97505,50000.0,0.16699999999999998,-0.78124726,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
